34rfYWhENI,hxCPNNK8vb,3,1,1
i0FbNhdD4v,zmBrolXRio,4,1,1
bVQBhBKLmu,Y0Y8buE8vo,4,1,1
7dRg1lN4aF,JzvIdKdE9f,5,1,0
yOHXFK8Ek6,WxA3VQMmxp,3,0,0
bTNpLIcY5K,SxFYhk3Xn4,3,0,1
xH8TrfHOyw,dHZE0pUoLE,4,0,1
A0fZY06JEo,wPosOtvkxv,3,1,0
s5xQyIFNnz,dCGLunmCyc,5,0,1
uMX873fyNO,M8LeH13TWO,5,0,0
XKzRPPL1ed,PDzTdzpkLW,4,0,0
k32rQUVZbK,D63yXxSifw,5,0,0
hj3cGvpiOt,1IemqAoqLk,3,0,1
3REe97dI6I,feHZaFXQ9f,3,1,1
KmVPha8UAM,E5xo5uBrzD,4,0,1
EA5DKGjFuJ,52CLg2zVKj,3,0,0
FcoCKZReNO,O3fngJjYL4,4,0,0
pXB7QmLlRf,kzJsNOPWDj,3,0,1
Rb5MdRRbZp,DYLEUl8hqR,5,1,0
CHGrAEBEJ9,R10YuuGqWH,5,1,0
ARzY7IxSTK,2O8vTBpTSp,4,1,1
Dvs3WG41cN,zGY5pGMyOr,3,1,0
MXvu57RdQh,nY6KKoISmQ,5,1,1
LZbcFexDwT,DqPWFuFsA9,4,1,0
qAFvg04zFf,xUgtJjVX7v,3,0,0
6CqRygxOrx,RPQPzfsNBN,5,1,0
XCE2SvYNQL,Qp3AiGFhUp,3,1,0
FxSGG0aVXI,TtJQcnT2V7,4,1,0
mvVqEj4gF4,IYk4Tjnd87,5,1,1
L1VQbGRC9K,9IARHd2No6,4,1,1
gpBq8rHPNs,TBFggdE1QF,5,1,0
DHjSIHVuB3,LBZt6AVaD4,4,1,1
TOlhgKw6dh,ys1yHAvbiq,3,0,0
mcV4dlQ2BM,FhgEWDmxY6,5,1,0
6apEde5YAW,hsIfYiuX5J,5,1,1
U7MaLzWV7i,AeIw3hvCyI,3,1,1
h3oXQdTOsZ,vgyB9sUrOv,5,0,0
uX1wRxyvKH,76Z5T6FLjM,4,1,1
cpkCqv5MPO,MIKrm8r3JT,5,1,1
TiW8b2reOx,hl5DPYgzY0,4,1,0
jXU9MdZE38,f9NGwCrqKE,3,1,1
n1zK0wRGHt,UrLzfDipCD,3,1,1
NrXKS0Cv6m,UR0dkFTMEH,3,0,1
zUMj1N6hyT,nCfDbKm6cA,4,0,1
bcgN7pw4Rb,qQspdsibdN,4,0,1
GWkNP8ylAk,Mwk99ODIv2,5,1,0
qJ1WwYYPV9,dFCS2K93sX,4,0,1
wklKX7ZBab,Vc18pDVHBt,5,0,1
sLYEGMNXbq,C96OgY6RFU,5,0,1
MYqS5DUkSq,gM0PzYd7Yf,5,1,1
6CWdOcKxIT,jaOulriNC1,3,1,0
MmSk58BlYS,ArOw2bwWPW,4,0,0
fActa60Op2,gQOW1MDs17,4,1,1
htonUFapQZ,0EbNx7hvlO,3,1,1
6u06l2g2Sg,7pjSLsPkL4,5,1,1
TQrCNApRzN,3qI7CVoPFi,3,1,0
iamEgW0Ag2,wGo67mb8y8,4,0,1
FQzatdhmjv,G1pUzmt1od,5,1,0
5f1NWm6yVP,1cJboIO6HA,4,1,0
7wxrLanEqe,Qp13lTymeR,4,0,1
Fxtrcb6JVu,GlvuC3ePFZ,3,0,0
28RWBDWBSg,CzFpzsxVkJ,5,1,1
FGichGMA8G,Bgl2OoTqWY,4,0,1
4LKZ0FX7yJ,Uz4C1w5iRD,5,0,0
VZXybYEP0q,jrBfYCmLbV,5,0,0
02SVZ28q47,mP4B5qhc42,4,0,1
KdidrJmCDu,AHuwLCYIpT,3,1,1
NN1gagsEQJ,zMAICY4TzH,5,0,0
qZ2CujzPhr,RqH8c9JAQj,4,0,0
G8RnagTNvh,bRkX3YwHs9,3,0,0
4cuzlZ8ap6,CNUCkuuTLf,4,1,0
baTrYfs79j,FkrFArSV3F,4,0,0
9glVJgAsal,vOjVHhzZgv,4,1,1
txklYaJXFY,Xa9OpPDHNI,5,0,0
nqiEt3X3cx,w145smUEam,5,1,1
cA2Mk87mMX,byu8Zx7cdI,5,1,0
TnD5znZtG5,KRp6uvT5Nf,3,0,1
GcIytotvoZ,MtQT8kOW6U,3,0,0
7F34jaOWUE,WEJNiXpBlg,4,0,0
p1oRXmf0vp,QWsTD1blbZ,4,0,1
zP5MVohZt0,pt2HIcBiDE,4,0,1
g6yeUpcwSe,XLnFg0KyKk,3,1,0
2T97Qbshv3,MRGNTzjRvt,5,0,1
YLDtC2Xs9h,lf8g1qldIH,3,1,0
Lgi31OieR1,TjsBtad8Ti,4,0,0
NvpkimV72M,mycJbeNVnV,4,1,0
8A40NorlvK,VCAinafuiK,4,1,1
3FltIo53cP,7cXH6MUnJP,4,1,0
eIkoTQGQI8,R0xcHH5PX7,3,1,0
mFfSS1M6uW,Hc9m2wae84,4,1,0
1ua6LeaubQ,1ZIidFPuSJ,4,1,0
NpMhIjL9wZ,wVjUNEfWxx,5,0,0
c644T1pacr,64xhiuIUx1,5,0,1
C6ALN8sYo8,LRpDbPR7cI,4,0,1
xDGyCXl7W1,BOPaS43sDN,3,1,0
KvXdWchurf,xYGIKWBdKc,3,0,1
l2k6uktmgm,tCJ0Elw9Wt,3,1,1
sEf2YuCCVU,VzAs94cV9Q,5,1,1
QDAUu4SYUK,PWBbwEE9II,3,1,1
QKfCY0eASx,srsrClgwt5,5,0,1
zUOWCzFjaE,c9Fz2egnRm,4,0,1
H1PXyv67Po,jXrt6S8AuX,3,1,0
zZ9XWJ8UHM,vFZoLrq8RG,4,0,1
atZM3m7Sie,EieOidfdyb,4,0,0
v71Sy0XAGp,OOIZghGE0y,5,1,0
hJ4p3fo0D5,jeXtzxF74z,3,1,1
jMo8rJp7id,5hfs6hr9f7,3,1,0
Do8uU3nC7r,qYy6MAocfj,5,0,1
9TNHcGDta2,XUuVn1dFBC,5,0,1
eQICr8bjKC,kD2qSYGNla,3,1,1
DGldqhAclw,fa5G2jkkGG,3,1,1
vXbO56JovI,g5uTBymq3S,3,1,0
lk0V3L9On5,AZNnnOBx6C,3,0,0
ULDGuHWFAe,GNu1LYF0tK,3,1,0
DwHt6Ep36W,gnAXZ1nuT5,4,0,1
ZftwHjTplA,QQcbhITp29,4,1,0
hWUrtFkAw3,b2Pt4DUiyB,4,1,1
kphIGiILcS,PMk9QBV4Cw,5,0,1
vYnVNULL4z,Kxbttvy5lB,4,1,1
u74Du3qwkk,cpclaPuacv,4,0,0
8FbS1Dz5Z3,e16U2udsHw,5,1,1
R0GOvJYKl5,Eymh2jAeRE,3,0,1
otAlnw3xge,xbEloN7duI,3,1,1
cAIXrJI623,WiixP9Cn5G,4,1,1
yIOQJr80CO,Pz0gE6FRnL,5,0,0
w79t2g838m,xSUN4w8bPj,4,0,0
EcZRrSCIKb,ROr3sh6hhA,3,1,1
KFzxmyHdMw,iB49mpfM2A,3,1,1
4rbXnrcW86,brAXkYwNGb,3,0,0
uKSMHVuFL3,OaB5YhBnsR,3,1,1
2siC5yZ1g2,dWZqx9bQWy,5,0,1
CJCyKUx9tG,fB8CTGobFM,4,1,0
YQ9J5U6QGI,kQt6lkg6Un,5,0,1
nPMaXczInW,QSNyu2Sp9Y,3,1,0
Ig7CjKPHvC,Te5YuwZPgm,4,0,1
tFUqFGbFBZ,F0uNPgt1ul,5,0,0
MZyDA4LYbG,bPg7bETBat,3,1,0
78djBq6UFZ,KgCMQD8R17,5,1,0
k598Jv575W,l8bTI5Fz8B,4,1,1
ayPOjFDLoP,ZZYuFLNtpG,4,1,0
LK2raZM4jx,GobcKP0cmr,5,0,1
CYpf2UHCHO,Ax0ElFp59b,4,0,0
CVL6uiW4EB,zPR1VzgW8E,4,0,1
0JCfsD5Pck,CpimH4aP6x,5,1,1
Q6bnjtqdG1,lOmDi8WGAY,4,0,1
257iLHM3fO,RmRrIdKOFj,5,0,1
YnfwTyqtiV,DQKaDxbHDx,4,0,0
HWPXxTrJ3t,0snow42N9H,5,0,0
ZL8BQrm1Nb,erhKJSMqrw,5,1,0
gVR2PmYcZP,wDcFUnVUq7,4,0,0
VQKhxrcAu9,eDAUneX9eK,3,0,0
yPtJ8I5R9B,h3cpwqk1TS,4,0,0
3iFEZ5IAU0,PckX6vXwFV,4,1,1
dfVeYYYmOX,LQHqgNIn73,5,0,0
4ujxF6d4t9,4mFkBSA9sZ,3,0,1
q1InoktNBz,dOt7DRVJEJ,4,1,0
GpIU01YkuL,8wf4p8WNr6,4,0,1
OXP2DaOYZi,mgcdBHYy4J,3,0,0
tOXQ8Hj1Qt,OIBxVyz7O7,3,1,1
lpeJdlV0y9,ihtgZlHY86,4,0,1
v4QWRd9Qu4,ssnR0x2T8J,5,1,0
lmslhAeKqY,KWwmrGpHTR,4,1,1
779atEW8cl,3CyrMBvrG2,5,1,1
1HY686UKIG,IW9Ks180Mu,5,1,1
eVonCglbDI,tZTFvfKR6X,5,0,0
Dlome7OuHF,dGB6QUriDu,5,0,1
STXX3E7fU2,Oz50PV8MxJ,4,0,0
yANemkzB1y,nsfiUC8eEg,4,1,0
zGcr1zbiYL,r0Yb25HsQ6,3,0,1
iywpxTa4CF,jlEA7LU9cJ,3,1,1
NXOFx0bb05,RvX4ytIegz,3,1,1
Ku1IDOrYEJ,okooiKNnqU,3,0,1
glKNxMl18i,OMeAaXgdtd,4,1,1
MS9Plxv9Tq,vrVQVyMVnt,4,1,1
gjDN4ECK9H,Znze1tXzAD,5,1,0
pZlCPOfml9,jgwcq8gYMa,5,0,0
oOj5jAseDA,tERwaxuN0R,4,0,1
qfs0cQwXmd,x7yzCVULTD,5,0,1
6O6pMG8LQb,Qc2PHzeWuc,5,0,0
J34HUtZIZf,efn9ub52CF,5,0,0
mkpI17Rzgd,gxJj4NvT79,5,1,1
eDeI1bKiL3,GrCUiw8PJI,3,0,0
gwb6R9WJcl,l50Om0jSwT,3,1,1
